,Empresa,nome,count_x,count_y,proporcao_nomes_por_qtde_socios
1570,Alvarez e Marsal Consultoria Empresarial em Praticas Setorizadas Ltda.,Andre,3,18,16.666666666666664
1623,Alvean Sugar Intermediacao e Agenciamento Ltda.,Copersucar,1,1,100.0
1624,Alvo Servicos de Limpeza Manutencao Predial e Administracao Ltda.,Damiao,1,1,100.0
1628,Am3 Servicos Especializados Ltda.,Antonio,1,1,100.0
1632,Amaral & Nicolau - Abn - Hotelari A e Consultoria e Administracao Ltda.,Ramos,1,1,100.0
1635,Amaral D' Avila Engenharia de Avaliacoes Ltda.,Amaral,1,1,100.0
1659,"Amaral, Biazzo, Portela & Zucca - Sociedade de Advogados",Ana,7,100,7.000000000000001
1889,Amaro Bezerra Cavalcanti Spe Ltda.,Tiberio,2,2,100.0
1891,Amaro Ltda.,Armes,1,2,50.0
1896,Amarras Industria e Comercio de Roupas Ltda.,Edgard,1,1,100.0
1899,Amazon Veiculos e Pecas Ltda.,Ana,1,1,100.0
1904,Ambiente Brasil Engenharia Ltda.,Aragao,1,2,50.0
1911,Ambientelix Servicos Ambientais Ltda.,Carlos,1,2,50.0
1917,Ambipar Logistics Ltda.,Environmental,1,1,100.0
1920,Amd South America Ltda.,Amd,2,3,66.66666666666666
1926,Amds Engenharia e Construcoes Ltda.,Costa,1,1,100.0
1929,America International Pecas Automotivas Ltda.,Claudia,1,1,100.0
1931,America Travel Viagens e Turismo Ltda.,Edo,1,1,100.0
1933,American Investimentos e Participacoes Ltda.,Fabio,1,1,100.0
1936,American Star Comercio de Veiculos S.A.,Berringer,2,3,66.66666666666666
1946,American Treats Industria de Alimentos Ltda.,Elida,1,1,100.0
1950,Amicorp do Brasil Ltda.,Amicorp,1,1,100.0
1952,Amilton Araujo Ferreira Fundacoes,Alexsandre,1,1,100.0
1955,Amixxam Sistemas de Protecao e Servicos Ltda.,Ferreira,1,1,100.0
1958,Ampfy Comunicacao Ltda.,Alexandre,1,11,9.090909090909092
