Empresa;Principais Executivos
Vella, Pugliese, Buosi e Guidoni Advogados;Alexandre Ginzel, Alice Bravo Braile, Ana Beatriz Fontelles Costa, Ana Luiza Morcelli Camacho, Ana Paula dos Santos, Anderson Luiz Martins de Moura, Andre Guimaraes Avilles, Andre Pessoa Ayres, Andre Ricardo Lemes da Silva, Antonio Carlos Guidoni Filho, Antonio Celso Fonseca Pugliese, Bruna Gobbi, Bruno Sanchez Belo, Camile dos Santos, Carina Bullara de Andrade, Carla Cristina de Lima, Carlos Eduardo de Biasi Caetano, Carolina Mansur da Cunha de Grandis, Carolina Vassilas Grigorini, Daniel Lopes Coelho, Denise Chachamovitz Leao de Salles, Diego Pelinson Dias, Dominique Ferreira Campos Prazeres, Elder Leonardo Abreu Vieira, Erik Martins Sernik, Fernanda Kassab Nunes Silva, Fernanda Le Tassinari, Fernanda Pasquariello Monteiro, Fernando Henrique Cruz Lopes da Silva, Fernando Villela de Andrade Vianna, Francisco Pereira Machado Neto, Gabriela Amaral de Macedo, Gabriela Cabral Gouvea, Gabriella Maranesi Najjar, Giovanna Balan Barbosa Tanganelli, Giovanna Paes Cruz, Giulia Tavares Murta, Gustavo Martinez Borges, Helena Vicentini de Assis, Henrique Buldrini Filogonio Seraidarian, Iasmim Taruma Souza Kuhn, Isabel de S.A.Nascimento, Isabella Ferreira Rovesta, Isadora Ramos Prata, Jose Eduardo Pradela da Silva Crespo, Joyce Cristina da Cruz Figueiredo, Julia da Motta Sarlo Antonio, Juliana Martins Skolimovski Gaia da Silveira, Larissa Oliveira Nascimento, Leticia Ferreira Alves Garcia, Leticia Martiena Andrade, Ligia Favero Gomes e Silva, Lucas Henrique Brito Monte Santo, Luis Otavio Fernandez Pinto, Luiz Frederico Vila Buosi, Luiz Henrique Junqueira Grespan e Silva, Luiza Franceschini Chade, Marcos Renato Gelsi dos Santos, Maria Luiza Colombini Lagoa, Maria Luiza Sanches Ramos da Silva, Nahima Muller Gazoni, Nylton Vitor Scicchitano de Almeida, Patricia do Nascimento Alves Galiza, Patricia Helena Barbosa de Souza Ferreira, Paula Piloto Santos Milano, Pedro Nogueira da Gama Monachesi Gaio, Raquel Rother Bezerra, Renata Morete Barros, Renato Otto Kloss, Ricardo Braghini, Roberta Santos da Silva, Rodrigo Poit Bassalobre, Rodrigo Vilardo Vella, Rodrigo Vilela de Castro, Simone Pereira Savi, Thamirys da Silva Scapin, Victor Malzoni Silveira, Victor Pomares Alves, Vitoria Pereira do Nascimento, Walter Augusto Loebel Oliveira
Fermolplast Industria e Comercio de Moldes Ltda.;Alexandre Gomes Mascaro, Fabiana Mascaro Didario, Michele Mascaro, Renata Mascaro
Brida Lubrificantes Ltda.;Alexandre Gonzales, Audrey Maria Gonzales, Eduardo Pires, Fabio Henrique Sgobi, Marino Pedreschi Junior, Vaneska Pedreschi
Ampfy Comunicacao Ltda.;Alexandre Guillermo Hernan Nogueira Hohagen, Andre Chueri Di Francesco, Carlos Frederico Siqueira, Douglas Rafael Bocalao, Gabriel Soares de Arruda Borges, Guilherme Brum Gehren, Pedro Manso Cabral Filho, Sergio Luiz Leite Brotto, Sidnei Egami, Ampfy Comunicacao Ltda., Evolution Partners Participacoes S.A.
Dardak Jeans Wear Ltda.;Alexandre Haigaz Dertkigil, Eduardo Cosmo Dertkigil, Jane Selva Attarian Dertkigil, Kozma Dertkigil
Nipo Center Import Ltda.;Alexandre Hidemitsu Uehara, Cesar Atsushi Uehara, Eliza Takara Uehara, Fernando Hideki Uehara, Hiroshi Uehara
H R S Tecnologia Industrial Ltda.;Alexandre Hillesheim da Silva, Roberto Ramberger Junior
Serpac Servicos Paralegais Ltda.;Alexandre Junior da Silva Nogueira, Karina Sparico Subhia, Katia Keila, Rafael dos Santos Silva Filho, Zenaide dos Reis da Paz
Nk Assessoria Contabil e Fiscal Ltda.;Alexandre Juniti Kita, Rogerio Massami Kita
Comercial de Alimentos Takara Mutinga Ltda.;Alexandre Kaoru Takara, Marcia Kazumi Takara
Anthares Solucoes em Climatizacao e Refrigeracao Ltda.;Alexandre Laporta Zanardo, Debora Colozza Hoffmann, Fabio Luis Leite Neves, Vinicius Ramires Pires Costa, Wili Colozza Hoffmann
Construtora Incorporadora e Comercio Neumax Ltda.;Alexandre Leite da Silva, Milton Leite da Silva, Milton Leite da Silva Filho, Neusa Maria Paulino da Silva
Paes e Doces Artur Prado Ltda.;Alexandre Luiz Guilherme, Alfredo Luiz Guilherme, Derson Itaecio de Souza, Ieda Battaglini Guilherme, Katia Aparecida da Silva, Luiza Maria Kaiane Martins, Sergio Martins Padrao
Price Brasil Negocios Imobiliarios Ltda.;Alexandre Magno de Moraes, Maza Assessoria e Empreendimentos Imobiliarios Ltda.
Comercial e Servicos Pcl Ltda.;Alexandre Manoel da Silva, Anderson Minervino da Silva
Center Mega Comercio de Materiais Para Construcao Ltda.;Alexandre Manzine, Lauzane Puccia Manzine
Krj - Industria e Comercio Ltda.;Alexandre Martinez Soriano, Eduardo Marchetti Bedicks, Ely Bandeira, Fernando Marchetti Bedicks, Joao Augusto Freire Vieira, Roberto Karam Junior, Roberto Marchetti Bedicks
Pellon e Associados Advocacia;Alexandre Martins Flexa, Andre Luis Rocha da Silva, Andressa de Oliveira da Cunha, Anorina Angelica da Silva Goncalves, Caliandra Cesar Silveira de Lara, Cesar Papassoni Moraes, Cintia Yazigi, Darcio Jose da Mota, Ewerton Augusto do Nascimento, Gustavo Siciliano Cantisano, Inaldo Bezerra Silva Junior, Jose Odecio Medeiros dos Santos, Leonardo Goncalves Costa Cuervo, Luana Garcia Marreti, Luis Felipe de Freitas Braga Pellon, Luiz Eduardo Rodrigues de Moraes, Mariana Ferraz Menescal Jahic, Mauricio Almeida Fiori, Natalia Matos dos Santos, Osorio Pinheiro Sobrinho, Pamela Cardia Teles Rubio, Patricia Regina de Matos, Paulo Roberto Eichenberger Silva Ferreira Goncalves, Sergio Ruy Barroso de Mello, Sergio Vitor Luna Martins, Stephanie Celestino Dorea, Talitha Ferrara Dias, Tatiana Luiza de Andrade Caldeira, Tatiane Kellen Machado Verissimo, Thais Lopes de Oliveira Silva, Thamires Paoli Delgatto, Victor Hugo Gomes Goncalves
Neotass Marketing & Business Ltda.;Alexandre Martins Ramos, Luiz Claudio Silva Nobre
Editora Wmf Martins Fontes Ltda.;Alexandre Mendonca Martins Fontes, Francisco Vergueiro Martins Fontes
Neo Private Equity Gestao de Recursos Ltda.;Alexandre Milani de Oliveira Campos, Guilherme Moyses Borrelli, Lucas Lima Freire, Neo Investimentos Ltda., William Davis Teixeira Muller, Neo Private Equity Gestao de Recursos Ltda.
Supermercados Preco Ideal Ltda.;Alexandre Moreira Dalle Vedove, Antonio Carlos Tadim de Araujo, Carlos Vinicius Guimaraes, Luis Afonso Tadim de Araujo
Boa Cozinha Cozinha Industrial de Alimentos Ltda.;Alexandre Nascimento Confessoro, Francisco Confessoro Filho, Ricardo Squillaro Roccia, Mhcc Refeicoes Coletivas Ltda.
Btx Geologia e Meio Ambiente Ltda.;Alexandre Patricio Chiarini, Fernando Fernandes, Joao Lucas Mazeto Garcia, Manoel Oliveira dos Santos Junior, Marcelo Altafini
A.P.dos Santos Comercio de Artigos Para Decoracao;Alexandre Pereira dos Santos
All Frig Comercio e Importacao de Produtos Alimenticios Ltda.;Alexandre Piccolo, Fernando Piccolo
Artesana Sistemas Construtivos Ltda.;Alexandre Prado Pagliuso, Antonio Shiniti Takeno, Carlos Alberto Pagliuso, Karla Pagliuso Lacerda
Pragma Gestao de Patrimonio Ltda.;Alexandre Quintas da Rocha Braga, Aloisio Pereira Camargo, Beatriz Franca de Sousa Lima, Beny Schinazi, Claudio Jorge Monteiro, Daniel Kendi Kanai, Diego de Carvalho Martins, Guilherme Lazzaretto Cella, Guilherme Yamamoto Moro, Luiz Felipe Pinheiro de Andrade, Luiz Francisco Guerra, Paulo Celso Campello de Menezes, Renata Carvalho Passos, Ricardo Shiota, Welber Marcos dos Reis Brito, Pragma Gestao de Patrimonio Ltda., Prgm Participacoes Ltda.
Evora News - Corretora de Seguros Ltda.;Alexandre Reyes Pires, Eduardo Rizi, Thiago Stoppa da Rocha
Super Vip Comercial Alimenticios Ltda.;Alexandre Rodrigues Lopes, Fernando Antonio Lopes, Lilian Rodrigues Lopes Ferreira, Ricardo Rodrigues Lopes
Jacarei Agricultura e Comercio Ltda.;Alexandre Rodrigues Lopes, Fernando Antonio Lopes, Ricardo Rodrigues Lopes
Sassa Sushi Restaurante e Bar Ltda.;Alexandre Saber, Gjlm Participacoes Ltda.
Mastercam Servicos de Portaria Ltda.;Alexandre Scarponi da Costa, Iraci Aparecida Scarponi da Costa
Tecnum Engenharia e Construcoes Ltda.;Alexandre Scola, Jorge Batlouni Neto, Sussumu Niyama
Vbi Real Estate Gestao de Carteiras S.A.;Alexandre Segateli Bolsoni, Kenneth Aron Wainer, Rodrigo Lacombe Abbud, Sergio Lemos de Magalhaes, Vbi Participacoes Ltda., Vitor Rangel Botelho Martins
Officeware Consultoria Ltda.;Alexandre Sergio Cavalcanti de Melo, Claudinei Goncalves da Silva
Tecwork Teleinformatica Ltda.;Alexandre Sulacov Vivo, Ricardo Jose
Gp Tecnologia em Seguranca Ltda.;Alexandre Tavares de Melo, Fabio Fanganiello, Manuela Becheri Fanganiello, Sergio Machado da Rocha
Starex Remocoes e Servicos Medicos Ltda.;Alexandre Tonicelli
N2 Netbra Distribuicao Integrada Ltda.;Alexandre Visconti, Bruno Luiz Marcal Ceolin
Seidor Exakta Consultoria de Gestao e Sistemas Empresariais Ltda.;Alexandre Wagner Bernardi, Eduardo Cecchetti de Souza, Gustavo Duarte Cardozo, Richard Godoy, Rogerio Hubner Marques, Ysse Elias Herchani Filho, Seidor - Tecnologia da Informacao Ltda.
Zanthus - Comercio e Servicos Ltda.;Alexandre Zugaib de Queiroz, Ricardo Zaccaro de Queiroz, Shanti Participacoes Ltda., Vera Maria Zugaib
D'.N.K.A.Empreiteira de Servicos de Construcao Ltda.;Alexandros Diamantis Karystinos
Lca Consultores S.S.;Alexandros Petridis Papadimitriou, Alian Damasceno Rodrigues, Allan Reis Damaceno, Ana Luisa Lisboa de Mello, Andrew Seymour Burt, Anna Olimpia de Moura Leite, Antonio Pedro Rima de Oliveira Faria, Bernardo Gouthier Macedo, Bianca Villamarim de Oliveira, Braulio de Lima Borges, Bruno de Paula Assuncao, Bruno Sanches Imaizumi, Caio de Souza Pinto Paoliello, Carlos Joaquim Paulino Pinto, Carlos Urso Junior, Celso de Campos Toledo Neto, Cesar Hideki Yamamoto, Cintya Yeung, Claudia Assuncao dos Santos Viegas, Claudio Adilson Goncalez, Cosmo de Donato Junior, Cristian Andrei, Daniel Ferreira Arruda, Dario Alexandre Guerrero, Elias Celestino Cavalcante, Fabio Rodrigo Romao Silveira, Fabio Xavier da Silveira Rosa, Felipe Marcos da Silva, Felipe Roriz Vieira, Fernando Azevedo de Arruda Sampaio, Fernando Jose de Camargo, Fernando Malateaux Sakon, Fernando Silveira, Flavia Ribeiro Rei Gomes da Silva, Flavia Teixeira Motta, Francisco Carlos Pessoa Faria Junior, Gabriel Silva Takahashi, Gustavo Graf Villabruna, Gustavo Madi Rezende, Henrique Ferreira dos Santos Vicente, Ismael de Faria Neto, Jean Carlos das Merces Almeida, Jessica de Araujo Silva Caieiro, Joao Carlos Nicolini de Morais, Joao Marcus Lima de Queiroz, Joao Paulo Sales de Almeida, Joao Pedro Revoredo Pereira da Costa, Joao Vitor Vial Marchi, Jose Luiz Chabassus Maia, Leandro Dias Daumas, Leonardo de Castro Lima, Leonardo Makoto Kawahara, Lucas Portela de Mauro, Luisa do Amaral Camargo, Marcelo Randolfo da Costa Januario, Marcio Kupper Pages, Matheus Monte Escobet, Michael Seymour Burt, Michelle Lisboa Turu Brasil, Neuremberg de Matos da Costa, Paulo Henrique de Oliveira, Pedro Henrique da Silva Santos Salerno, Pedro Paulo Amaral Zopello, Raquel Keiko de Sales Andrade, Richard Alves Sales, Roberta Maitino de Oliveira Alves, Rodrigo Nishida, Silvia Faga de Almeida, Tamiris Oliveira de Morais, Thais Marzola Zara, Thales Souza Lima, Thovan Tucakov Caetano, Valentin Pataca Femena, Veronica de Castro Lameira, Veronica Lazarini Cardoso, Victor Alexandre de Paula Lopes, Yuri de Macedo Passuelo
Huck, Otranto e Camargo Advogados Associados;Alexia Almeida Rodrigues, Amanda Salis Guazzelli, Antonio Heraldo Wajnman Lima, Barbara Weg Sera, Beatriz Toratti, Caio Isepi Gasparetto, Celia Mara Peres, Denis Cesar da Silva, Diego Billi Falcao, Eduardo de Oliveira Lima, Elaine Perez, Estela Maria Lemos Monteiro Soares de Camargo, Fabio Floriano Melo Martins, Fernanda Cardoso de Almeida Dias da Rocha, Fernanda Xavier Annenberg, Guilherme Gauchat, Guilherme Montebugnoli Zilio, Henrique Ceolin Bortolo, Henrique Giongo Maluf, Hermes Marcelo Huck, Isabella Mara Bodo, Julia Samson Almeidinha, Lucas Franco Pereira Gaspar, Luciana Valverde Grinberg, Luis Henrique Silva Bomfim Junior, Luiz Antonio Castro de Miranda Filho, Luiz Felipe Pereira Gomes Lopes, Luiz Otavio Rodrigues Ferreira, Marcelo Muratori, Matheus de Mello Adaes, Otavio Dias Ferraz Paixao, Paulo Cesar Butti Cardoso, Paulo de Lorenzo Messina, Paulo Vitor Paula Santos Zampieri, Priscila Furgeri Morando, Priscila Jane dos Santos Minchillo Conde, Raquel Maria Sarno Otranto Colangelo, Renan Varollo Perlati, Rodolfo da Costa Manso Real Amadeo, Rogerio Carmona Bianco, Thalita Duarte Henriques Pinto, Thomas Alexandre de Carvalho, Vitor Chaves Fernandes, Huck, Otranto e Camargo Advogados Associados
Life Spine Implantes Ltda.;Alexis Damazio, Edson Nascimento Pereira, Painite Participacoes e Gestao de Negocios Ltda.
S.A.Genaro Servicos de Informatica Ltda.;Alexis Mazzulli de Melo, Orlando Candido de Melo
Transportes Guaianazes Ltda.;Alexsandra Freire Mascarenhas, Carlos Andre de Oliveira Mascarenhas
Tritone 72 Interativa Internet Ltda.;Alexsandra Ganzer Estanislau
Amilton Araujo Ferreira Fundacoes;Alexsandre Araujo Ferreira
A.R.da Conceicao Construcoes;Alexsandro Rogerio da Conceicao
Corumbal Participacoes e Administracao Ltda.;Alfa Holdings S.A., Consorcio Alfa de Administração S.A.
Alfama Alimentos Ltda.;Alfapar Investimentos Ltda.
Metro Taxi Aereo Ltda.;Alfastar Participacoes Ltda., Metropar Administracao e Participacoes Ltda.
Kapitalo Investimentos Ltda.;Alfredo Binnie, Bruno Sousa Mauad, Carlos Leonhard da Rocha Woelz, Christiano Chaccur Chadad, Daniel Almeida Costa Correa, Felipe Balassiano, Frederic Campos Brown, Hegler Jose Horta Barbosa Filho, Joao Carlos Tavora Pinho, Kapex - Holding Ltda., Luiz Eduardo Martins Bergmann, Marcio Filgueiras Pernanchini, Nuno Guimaraes Sampaio, Otavio Menezes Dame, Rafael Paiva Poppe do Valle, Ricardo Mitsuaki Kawahara, Rodrigo Muniz Ferreira Cavenaghi, Shindi Kadobayashi Junior, Tulio de Carvalho Pinto Bueno, Vinicius Ajuz Rezende, Yuri Tobias Araki
Carvas Transportes Ltda.;Alfredo da Silva Carvas, Janete da Silva Carvas
Inline Servicos e Comercio de Informatica Ltda.;Alfredo dos Reis Gaspar, Paulo Rodrigues Gouvea Filho
Biblion Logistica S.A.;Alfredo Egydio Arruda Villela Filho
Lisboa Industria de Panificacao Ltda.;Alfredo Martins Junior, Carlos Alberto Coelho, Celia Regina Martins Pedro, Flavio Roveri Martins, Jose de Jesus Coelho, Milena Roveri Martins, Olivia da Fonseca da Costa, Rafael Costa Martins, Sergio Vasco Pedro
Bonjardim Paulista Comercio de Alimentacao Ltda.;Alfredo Nagib de Vasconcellos Miguel, Renata Kinikel de Andrade Miguel
Novacao Engenharia de Empreendimentos Ltda.;Alfredo Nagib Rizkallah, Maria Angela Kalil Rizkallah
Dynalf Industria de Componentes Eletronicos Ltda.;Alfredo Patricio Olivares Bustamante, Dynaco Servicos Administrativos e Financeiros Ltda.
Inalfa America do Sul Ltda.;Alfredo Teixeira de Queiroz Neto, Uliana Industria Metalurgica Ltda.
Gradual Service System Ltda.;Alfredo Vicente Talarito Neto, Jose Antonio da Rocha Talarito
Alg Global Infrastructure Advisors do Brasil Ltda.;Alg Global Infrastructure Advisors Sl, Indra Sistemas, S.A.
Wardy Confeccoes Ltda.;Ali Hasan Ibrahim Ali, Naim Marof Hasan
Complexo Hospitalar J.S.J.Ltda.;Ali Hussein Ibrahin Taha
Sierra Investimentos Brasil Ltda.;Aliansce Sonae Shopping Centers S.A., Patio Uberlandia Shopping Ltda.
Acao Engenharia e Instalacoes Ltda.;Alice Cergoli Patara, Enio Patara, Jose Starosta, Tania Mara Garcia Starosta
Atrio Construtora e Incorporadora Ltda.;Alice dos Anjos Neves
A5Y Contabilidade Ltda.;Alice Reimberg, Helio de Oliveira Rezende
Security Facilities Ltda.;Alice Ribeiro de Luca, Unax Empreendimentos e Participacoes S.A.
Arnes Holding Participacoes Ltda.;Alice Samaia Martins Ferreira, Betina Samaia, Ricardo Samaia Martins Ferreira
Carpediem Desenvolvimento Profissional Ltda.;Aliesh Pereira da Costa, Marcelo Machado Farias, Valdemira Pereira
Mf Refeicoes Coletivas Ltda.;Alimentar Catering Ltda., Master Food Alimentos Ltda.
Suiguem Agropecuaria Ltda.;Alina Shimano, Cicero Kazutoshi Shimano, Clara Kuramochi Shimano, Julia Kuramochi Shimano, Sofia Kuramochi Shimano
Viseu Sociedade de Advogados;Aline Arruda Figueiredo Androwick, Aline Suelen Luan Capele, Amanda Soares Napolitano Nacagawa, Ariadne Teixeira Ribeiro, Beatrice Graciano Zampini, Bianca Giacon Pecego Avella, Bianca Vitoria de Paula Godoy, Bruna Batista Galleoni, Bruna Soares de Figueiredo, Caio Nogueira de Castro, Carla Freire Moreira Silverio, Carla Rahal Benedetti, Carlos Nei Fernandes Barreto Junior, Carolina Ferreira de Carvalho Loyola Borba, Caroline Rampaso de Souza, Caroline Texeira Gomes Vitor, Chesley Rodrigues dos Santos, Daniele Pedroso Garcia Preto, Danielle Trombieri Felix de Araujo, Daviny Rodrigues Ximenes, Debora Delestro Soares, Deyvison Ramalho Nobrega, Diane Garcia da Silva, Edoardo de Stefano, Eduard Peter Tavares Zimmermann, Elaine Cypriano Amorim, Emylle Melo de Oliveira Santana, Erika Tatiane Gomes Spina Laranjeira, Evelyn Lopes de Lima, Fabiana de Jesus Barros, Fabio Nieves Barreira, Fernanda Horovitz Frankel, Francisca Paula de Souza Fakury, Giovanna Rocha Prado, Giovanna Serio Luciani, Giselle Esteves Vergal Lopes, Guilherme Manier Carneiro Monteiro, Gustavo Henrique dos Santos Viseu, Ingrid Reinauer Rosa, Isabelle Cavalcanti dos Santos, Isis de Souza, Janaina de Albernaz Linz, Janaina Guimaraes Turrini Ferreira, Jaqueline Zanotti Soares, Jessica Souza dos Santos, Julia Pinhoni Domiciano, Karen Cristina Amaral Lopes, Ketlin Felix de Oliveira, Laura Girardo de Brito, Leonardo Augusto Domingos Correia, Leticia Terni Zucchi Kosmack, Lilian Elias Fantini, Luis Gustavo de Paiva Leao, Luiza Saueressig Roese, Maiara Colpani, Manoel Ignacio Torres Monteiro, Mariana Madalena Silva Maciel, Mariane Dotti Rodrigues Beluco, Marilia Bolzan Cremonese Domingos, Marilia de Jesus Silva, Michael Rodrigues Silva, Michelle Fayfer Arruda Bernardino, Monise Rodrigues Carvalho, Natalia Honorato David Lucenti, Nathalie Salgado Arra, Nayara Cavalcanti Bonfim, Nina Alencar de Oliveira, Patricia Forster Franco Salgado, Pedro Henrique dos Santos Cruvinel, Priscila Szekely Cardoso Gomes Mendes, Rafael Merli Alves Andre, Raquel Gomes Verde, Renan Rocha Leite da Silva, Renata Mayara Sales Rodrigues, Ricardo Martins Motta, Sabrina Pelikan Venancio, Silmara Monteiro Bernardo, Silvia Alcinda de Morais Dantas, Stefani Paiva de Freitas, Talita Turssi Cardoso, Tiago Batista, Urbano Carlos Salvador de Oliveira Fiorese
Galeria Grill Lanches Ltda.;Aline de Moraes Candido, Jose Francisco Miguel Ferraz
Salusse, Marangoni, Parente e Jabur Advogados;Aline Karina Duarte Sacilotto, Allan Moraes, Ana Lucia de Campos Maia Snege, Andrea Gardano Bucharles Giroldo, Angela Patricia Ferreira Andreoli, Beatriz de Campos Gazoli, Bruna Reguly Sehn Hannud, Bruna Talita Reis de Almeida, Carla Tredici Christiano, Celso Ferreira da Cruz, Daniela Cristina Volpato Alves, Daniele Bertran Cruz, Eduardo de Albuquerque Parente, Eduardo Perez Salusse, Eduardo Winters Costa, Erik Guedes Navrocky, Fabio Jose Zanetti de Azeredo, Felipe Hannickel Souza, Felipe Lisboa Meiler, Fernando Gilberto Bellon Junior, Flavia Muller de Faria, Flavio Felipe Pereira Vieira dos Santos, Gabriel Gouveia Spada, Gabriela Pazotti Silva, Gianna Ochoa Tagliari, Giovana Barboza de Moraes, Giuliana Allocca Dorini, Guilherme Felipe Guarinao, Guilherme Story da Silva, Henry Georges Pilavdjian II, Igor Rodrigues Andrade Costa, Joao Leandro Pereira Chaves, Kalinka Conchita Ferreira da Silva Bravo, Karen Stein, Lina Braga Santin Cooke, Luana Pinto Schunck, Lucas Fonseca Bertoldo, Lucas Ramires Pego, Luis Fernando Marques Dias, Luiz Henrique Vano Baena, Maite Stelluti, Maria Alejandra Platero Cataldo, Maria Luiza Lins, Mariana Martelli Bachega, Natalia Nogueira dos Santos, Olival Mariano Pontes Junior, Paula Pereira Beluomini, Pedro Motta Saraiva, Rafael de Moraes Rino, Raphael Martinucci, Sergio Ricardo Nutti Marangoni, Silvia Mitev Marin, Stela Sayuri Suto Lemes, Thamiris Regina Gibelli, Thiago Matheus Beja Fontoura da Silva, Valdemir Orefice, Wilson Pinheiro Jabur
Ecalc Sistemas de Computacao Ltda.;Aline Oliveira Curvelo de Almeida, Caio Lucio Rodrigues, Guilherme Porto Bruno, Norma Oliveira Curvelo de Almeida, Pedro Hugo Oliveira Curvelo de Almeida, Tiago Freire da Silva Costa, Valdir Santos Souza Filho
Live Marketing de Disseminacao Ltda.;Aline Romero Rossin, Bruno Poiani Gomes, Heber Augusto Ivanoski de Araujo, Joao Paulo Mognon Cavalcanti, Leonardo Viri de Oliveira, Lucas Polato Rodrigues de Souza, Lucas Waengertner de Mello, Pedro Moreira Becker, Samir Martins Arrage Junior, Live Marketing de Disseminacao Ltda.
Lacaz Martins, Pereira Neto, Gurevich e Schoueri Advogados;Aline Satie Okano, Ana Cristina Nogueira Rocha, Andre Lucas Durigan Sardinha, Barbara Ribeiro Sento Se, Bruna Santos do Amaral, Bruno Moreira Kowalski, Camila de Souza Santos, Camila Rodrigues da Silva, Carolina Antunes Santin Rivas, Carolina Brumati Ferreira, Clara Moura Masiero, Cristiano Diogo de Faria, Daniel Vitor Bellan, Daniela Romano Tavares Camargo, Deborah Silva Okida, Eduardo Henrique Martins de Oliveira, Eduardo Isaias Gurevich, Eduardo Roque Rocha Camargo de Oliveira, Eduardo Santos Arruda Madeira, Elayne Lopes Lourenco Mustefaga, Elton Carlos Viana Possa, Erica Fernandes Campos Verissimo, Fernanda Botelho de Oliveira Dixo, Fernando Augusto Bertolino Storto, Flavia de Moraes Pauli Gatti Gamba, Flavia Meira de Castro Checchia, Flavia Penteado Rafaini Fabiano, Francyne Ribeiro Mourao, Guilherme Garcia de Oliveira, Guilherme Silva Galdino Cardin, Jose Luiz Crivelli Filho, Juliana Bettoni Menezes do Nascimento, Juliana Helena Jordao Carvalho, Juliana Nancy Marciano, Liege Schroeder de Freitas Araujo, Livia Maria Siviero Bittencourt Huh, Luciana Angeiras Ferreira, Luis Eduardo Schoueri, Luiz Fernando Siqueira de Ulhoa Cintra, Luiz Gustavo Friggi Rodrigues, Luiz Henrique Sigolo Levy, Marcel Desmonts da Silva Filho, Maria Julia Oltramari Boscolo, Mariana Campos de Souza, Mateus Calicchio Barbosa, Mayara Regina da Costa Barral, Michelle Cristina Bispo, Michelle Sobreira Ricciardi Rosa, Miguel Pereira Neto, Natalia Lira Lima, Natan Carbone Ghosn de Carvalho, Natanael Oliveira da Cruz, Nayane Carvalho de Brito, Patricia Bayer, Patricia de Souza Goncalves, Patricia Martinuzzo, Paula Correa Cortado, Paula Meira Campos de Andrade Silva, Paulo Cesar Amorim, Priscila Fioratti, Rafael Cirino da Silva, Rafael Cunha Procopio, Raisa Pillay Bartolomei, Rayssa Rodrigues Mosti Stegmann Cruz, Renata Namura Sobral, Renato Rossato Amaral, Ricardo Andre Galendi Junior, Ricardo Lacaz Martins, Roberta Capozzoli Diniz, Roberto Toshio Irikura, Rodrigo Benevides de Carvalho, Roseli Leme Freitas, Sergio Teixeira de Andrade Filho, Thais Souza Horwath, Valnan Claret Rodrigues de Almeida Alves, Vanessa Souza Rosa, Victor Daher, Wilson de Lima Junior, Yeda Bastos Rodrigues Bruschini, Lacaz Martins, Pereira Neto, Gurevich e Schoueri Advogados
